,target,t_id,created_at,user,text
0,,1502803659758788623,2022-03-13 00:28:07+00:00,David Nelson,"RT @MariaSemykoz: What keeps my friends in 🇺🇦 going are the dreams of rebuilding after the war.People in shelters plan for their startups,n…"
1,,1502803659104534528,2022-03-13 00:28:07+00:00,Parry 🗽 🇺🇸🏛 #TeamJustice 🌻AntiKakistocracy,"RT @_JakubJanda: Many Westerners are saying: so maybe Ukraine can give part of Ukraine to Russia and war will be over.

No way. After thous…"
2,,1502803659092119557,2022-03-13 00:28:07+00:00,Elaine Anderson,RT @evolv67: @PeterStefanovi2 I never trusted Boris to do the right thing. Ukraine is giving him the excuse to distract the public from his…
3,,1502803659020771330,2022-03-13 00:28:07+00:00,Otravezyoacá,"RT @KyivIndependent: ⚡️Over 80% of Americans see Ukraine as 'friendly' or an ally, 70% consider Russia 'unfriendly' or an enemy.

Source: S…"
4,,1502803658848800770,2022-03-13 00:28:07+00:00,vito39,RT @ElectionWiz: TRUMP: The conflict in Ukraine could lead to War World III because we don't have any leaders who can handle Putin.
5,,1502803658723176454,2022-03-13 00:28:07+00:00,River,RT @IAPonomarenko: A new bill officially makes it totally legal for civilians to kill Russian military personnel deployed to Ukraine https:…
6,,1502803658525724675,2022-03-13 00:28:07+00:00,Spekta Poltergeist,@globalnews Amazing ehh😃😃 Ukraine will be destroyed and Ukrainians will be destabilized and will suffer for a long… https://t.co/dxa5n9YUzB
7,,1502803658362310659,2022-03-13 00:28:07+00:00,Edwin Witt,"RT @UAWeapons: #Ukraine: Ukrainian Forces took down a Russian Air Force Ka-52 ""Alligator"" attack helicopter in #Kherson Oblast, with a tail…"
8,,1502803658131578884,2022-03-13 00:28:07+00:00,Justin Bronk,"RT @shashj: “The United States and its allies have intelligence that Russia may be preparing to use chemical weapons against Ukraine, U.S.…"
9,,1502803657414389762,2022-03-13 00:28:07+00:00,Taggart Rehnn,"RT @JuliaDavisNews: #Russia's state TV showcases clips of Tucker Carlson and Tulsi Gabbard, helping to perpetuate the myth of dangerous ""bi…"
10,,1502803657338851329,2022-03-13 00:28:07+00:00,Choragus,"@POTUS One of the very few things I can actually agree with you on.  We get involved in Ukraine, we're in a war tha… https://t.co/FSjPrpMwQA"
11,,1502803657238228995,2022-03-13 00:28:07+00:00,Political Punisher,"RT @MattH_4America: We're $30 trillion in debt. We have veterans who are homeless, record high gas prices, empty grocery store shelves, and…"
12,,1502803657229697025,2022-03-13 00:28:07+00:00,Renae,RT @B52Malmet: The White House is now sending an additional $200 million in arms and equipment to Ukraine. Today’s announcement is  more ar…
13,,1502803657141723137,2022-03-13 00:28:07+00:00,KAREN GRANTHAM,"RT @chipfranklin: ✋ Raise your hand if you understood Trump was a traitor for blackmailing Ukraine back when it happened. 🇺🇦

I want EVERYO…"
14,,1502803657020088321,2022-03-13 00:28:07+00:00,Mamba mentality wit Gambling🏁,"RT @richardsudan: This is being widely shared online.
Black student Stanley Tany, was reportedly chased into a Ukraine police station by ne…"
15,,1502803656973996035,2022-03-13 00:28:07+00:00,Kateryna Yushchenko 🌻 🇺🇦,"RT @InnaSovsun: #russian plans as discussed on TV.

""Who says we should stop after Ukraine?""

""The whole world will be in ruins.""

Just for…"
16,,1502803656613273603,2022-03-13 00:28:07+00:00,Tamara,"RT @dotslondon: You can donate to our UKRAINE BORDER trip appeal to help animals of the war here:
https://t.co/LGRGgWkH58

#UKrainePaws 🇬🇧…"
17,,1502803656550277120,2022-03-13 00:28:07+00:00,GAMBANYA 🖐,RT @lesiavasylenko: Finally we applaud Germany: no more #Russia oil and coal by end of 2022. All that’s left is to say NO to Russian gas. T…
18,,1502803656378183681,2022-03-13 00:28:07+00:00,Konstandena,RT @novelidea14: I can’t seem to find that list of un-taxed churches who are giving aide to Ukraine 🤨 🇺🇦
19,,1502803656294514695,2022-03-13 00:28:07+00:00,Nicole Jäger-Koydl,RT @kamilkazani: Most of so called foreign policy is domestic policy by other means. For this reason I think Putin is reluctant to start a…
20,,1502803656051204099,2022-03-13 00:28:07+00:00,Buttigieg Democrat - USDOT Nerd 🌻🐝,RT @ThomasVLinge: #Ukraine 🇺🇦: the Ukrainian mufti Said Ismagilov has taken off his religious clothing and put on a uniform as he has joine…
21,,1502803656000761857,2022-03-13 00:28:06+00:00,👽 Fox Mulder 🇺🇸🇺🇦,"RT @YourAnonNews: A captured Russian soldier spoke about the use of ""execution squads"" to eliminate deserters as tensions within the Russia…"
22,,1502803655904448515,2022-03-13 00:28:06+00:00,Fé de Rico Escallera 🇺🇦,"RT @leonidragozin: Lavrov says it’s not about Ukraine, it’s an attack on all things Russian - language, culture, religion.

Well, Putin’s d…"
23,,1502803655816359936,2022-03-13 00:28:06+00:00,lori,"RT @JenGriffinFNC: If you read one thing today: Please read every word of this excellent interview with Stephen Kotkin, a leading historian…"
24,,1502803655191236609,2022-03-13 00:28:06+00:00,StParadise,@tankflynn @RealCynicalFox I think Ukraine has a little better idea of what they need. At best they have 80 fighter… https://t.co/gh99NY6wTY
25,,1502803654700642311,2022-03-13 00:28:06+00:00,Traumatized Suburb Boy,"RT @KyivIndependent: ⚡️Zelensky: Sergeant Inna Derusova is the first woman to be awarded the Hero of Ukraine title posthumously. 

A field…"
26,,1502803653618413568,2022-03-13 00:28:06+00:00,EV Now,RT @ggreenwald: If you live in the West and have strong views on war in Ukraine - fine: maybe you're 100% right - but it's vital to recogni…
27,,1502803653475942401,2022-03-13 00:28:06+00:00,Daniel Buk,How the Legacy of World War I Shapes Our Response to Ukraine https://t.co/XPJ7mndfYN @ProfPaulPoast @seanilling… https://t.co/W1ZgfouNsq
28,,1502803653454925825,2022-03-13 00:28:06+00:00,Lauren Down South,RT @DariaSipigina: A corridor in one of evacuation trains in #Ukraine from Poltava to Lviv. 17 hours on a train with all windows closed so…
29,,1502803653400444931,2022-03-13 00:28:06+00:00,Antonio Calhau,RT @washingtonpost: Perspective: A Jewish girl was saved by a Ukrainian family during World War II. Now her grandchildren are returning the…
30,,1502803652980867073,2022-03-13 00:28:06+00:00,tajones🌻🇺🇦 🇺🇸🌊🌎💞🏳️‍🌈,RT @CBSEveningNews: HELPING THE RESISTANCE: The U.S. is shipping thousands of American-made Javelin anti-tank weapons to Ukraine in an effo…
31,,1502803652976783360,2022-03-13 00:28:06+00:00,piscesbussy,RT @haltman: Some chilling A-level messaging here by Ukraine. https://t.co/XEss2DeMiR
32,,1502803652775395329,2022-03-13 00:28:06+00:00,Sylvia Reyes,"RT @DefenceU: #ifwefallyoufall ❗️
@NATO close the sky over Ukraine! https://t.co/kRWIQlU9Pn"
33,,1502803652578267142,2022-03-13 00:28:06+00:00,Ukraine-Journal🇺🇦🇪🇺,RT @thedailybeast: Ukrainian President Volodymyr Zelensky said he remained steadfast in his determination to cast Russian forces out of Ukr…
